*******************************************************************************
 Revised: Feb 12, 2025        New Horizons Spacecraft                      -98
                          http://pluto.jhuapl.edu/index.php

 NOTE:
  The trajectory here now includes post Pluto-encounter spacecraft 
  reconstruction (documented as AAS 16-419, "New Horizons Orbit Determination
  Perfomance During Approach and Flyby of the Pluto System". Pelletier, et al.)

  That trajectory (od122) was later used along with satellite data through
  1965-2018 to re-estimate the Pluto system satellite solution, plu058.

  When objects -98 (spacecraft) or 2486958 (TNO target) are used as target  
  or coordinate centers, the trajectories listed below are used to derive 
  relative positions.

 Schedule overview:
  2006-Jan-19 ... launch (Atlas V551 1st stage, Centaur 2nd, STAR 48B 3rd
  2006-Jun-13 ... Approaches 2002 JF56 to within 102,000 km at 04:06 CT
  2007-Feb-28 ... Jupiter gravity assist (05:43 UTC, 2.3045(10)^6 km)
  2015-Jul-14 ... Pluto Charon encounter @ 11:49:57 UTC
  2016+       ... Kuiper Belt Object targeting 
  2019-Jan-1  ... Arrokoth (2014 MU69) flyby @ 05:33 UTC, 3500 km from center)
  
 Mission Objectives:
  * Map surface composition of Pluto and Charon
  * Characterize geology and morphology of Pluto and Charon
  * Characterize the neutral atmosphere of Pluto and its escape rate
  * Search for an atmosphere around Charon
  * Map surface temperatures on Pluto and Charon
  * Search for rings and additional satellites around Pluto
  * Conduct similar investigations of one or more Kuiper Belt Objects

 Spacecraft:
  1025 lbs (465 kg), 8 feet wide (2.5 m), RTG powered

 Concatenated spacecraft trajectory (from NH navigation):

 USAGE NOTES:

  1) To produce Horizons output relative to the Arrokoth (2014 MU69) 
     flight-project target trajectory, specify coordinate center 
     "@ 2486958" or "@ Arrokoth".
  2) The reconstructed post Arrokoth-flyby target-body trajectory solution 
     used is from "NavSBE_2014MU69_od159"

 File                                     Start              Stop
 ---------------------------------------- -----------------  -----------------
 nh_pred_20060119_20070101_od021          2006-Jan-19 19:52  2006-Dec-31 23:58
 nh_ref_20060119_20150925_v04             2007-Dec-31 23:58  2007-Mar-19 00:00
 98_pred_20070319_20150101_od070          2007-Mar-19 00:00  2012-May-01 13:47
 98_pred_20120501_20160913_od117          2012-May-01 13:47  2014-Dec-08 05:13
 nh_recon_pluto_od122_v01                 2014-Dec-08 05:13  2015-Sep-27 06:13
 nh_recon_arrokoth_od147_v01              2015-Sep-27 06:13  2019-Feb-07 00:00
 nh_pred_alleph_od151                     2019-Feb-07 00:00  2021-Oct-01 00:00
 98_pred_20211001_20300101_od162          2021-Oct-01 00:00  2030-Jan-01 11:56
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Tue Apr  8 10:15:52 2025 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: New Horizons (spacecraft) (-98) {source: NH_merged}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2006-Jan-20 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Jan-01 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2453755.500000000, A.D. 2006-Jan-20 00:00:00.0000, -4.848640522269070E-01,  7.857764885812604E-01,  3.405628850747914E-01, -2.155445266959493E-02, -1.141832846262074E-02, -4.543060103085471E-03,
2453785.500000000, A.D. 2006-Feb-19 00:00:00.0000, -1.040133943191391E+00,  3.579047689766871E-01,  1.667845043985746E-01, -1.519065082380240E-02, -1.626927724011378E-02, -6.690392296323628E-03,
2453815.500000000, A.D. 2006-Mar-21 00:00:00.0000, -1.405965595449903E+00, -1.462312384258568E-01, -4.202829603296278E-02, -9.594551822905585E-03, -1.688987900548027E-02, -7.033710350831143E-03,
2453845.500000000, A.D. 2006-Apr-20 00:00:00.0000, -1.638294373397317E+00, -6.418172509409190E-01, -2.491163706235009E-01, -6.195248299950159E-03, -1.606203617965462E-02, -6.730849388048118E-03,
2453875.500000000, A.D. 2006-May-20 00:00:00.0000, -1.791223531169404E+00, -1.108356993616048E+00, -4.450077358287962E-01, -4.164181632356170E-03, -1.504664862640374E-02, -6.328789620143425E-03,
2453905.500000000, A.D. 2006-Jun-19 00:00:00.0000, -1.895480725947893E+00, -1.545665576342957E+00, -6.291843701263743E-01, -2.876692853432282E-03, -1.412975645101815E-02, -5.957912068216964E-03,
2453935.500000000, A.D. 2006-Jul-19 00:00:00.0000, -1.967978206514700E+00, -1.957513754771548E+00, -8.030052800820968E-01, -2.009401281190486E-03, -1.334869441156740E-02, -5.638691587391572E-03,
2453965.500000000, A.D. 2006-Aug-18 00:00:00.0000, -2.018550854368476E+00, -2.347796094396751E+00, -9.679832309869386E-01, -1.395082804391631E-03, -1.268838782677056E-02, -5.367118628656202E-03,
2453995.500000000, A.D. 2006-Sep-17 00:00:00.0000, -2.053286639373637E+00, -2.719802687316858E+00, -1.125427892781630E+00, -9.423216954768837E-04, -1.212676658919864E-02, -5.135128335690786E-03,
2454025.500000000, A.D. 2006-Oct-17 00:00:00.0000, -2.076169434946201E+00, -3.076195183312695E+00, -1.276412124582702E+00, -5.981503888758266E-04, -1.164460531482902E-02, -4.935311716640979E-03,
2454055.500000000, A.D. 2006-Nov-16 00:00:00.0000, -2.089936399355520E+00, -3.419123899337619E+00, -1.421809334965615E+00, -3.304494966650796E-04, -1.122708039167695E-02, -4.761825324071112E-03,
2454085.500000000, A.D. 2006-Dec-16 00:00:00.0000, -2.096561920971959E+00, -3.750362046463772E+00, -1.562343260340477E+00, -1.196081339253546E-04, -1.086395824920849E-02, -4.610578727778466E-03,
2454115.500000000, A.D. 2007-Jan-15 00:00:00.0000, -2.097576568638796E+00, -4.071467425526771E+00, -1.698648163393816E+00,  4.350564997025258E-05, -1.055239735942644E-02, -4.480368974975944E-03,
2454145.500000000, A.D. 2007-Feb-14 00:00:00.0000, -2.094640805283873E+00, -4.384390208120832E+00, -1.831517320531824E+00,  1.264813516053234E-04, -1.034607692774374E-02, -4.392019853488481E-03,
2454175.500000000, A.D. 2007-Mar-16 00:00:00.0000, -2.053115526515007E+00, -4.721951641995035E+00, -1.968871836737012E+00,  2.830441355226246E-03, -1.156621000695480E-02, -4.553388838286719E-03,
